"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN"
"2","ggplot2","hadley","2008-05-25","2015-09-01",1434,506,"2015-03-17"
"3","shiny","rstudio","2012-06-20","2015-08-31",1366,704,"2015-08-05"
"6","devtools","hadley","2010-05-03","2015-08-31",1092,326,"2015-05-09"
"7","knitr","yihui","2011-10-17","2015-09-01",986,446,"2015-08-14"
"8","dplyr","hadley","2012-10-28","2015-09-01",886,351,"2015-06-16"
"13","ggvis","rstudio","2013-04-30","2015-06-22",469,135,"2015-06-06"
"14","ggthemes","jrnold","2012-09-07","2015-08-16",453,97,"2015-07-01"
"15","plyr","hadley","2008-11-19","2015-08-06",404,94,"2015-06-12"
"16","rvest","hadley","2014-07-23","2015-07-21",398,85,"2015-01-01"
"18","httr","hadley","2011-11-11","2015-08-25",379,1061,"2015-06-25"
"20","rmarkdown","rstudio","2014-01-22","2015-08-30",358,201,"2015-08-30"
"21","ProjectTemplate","johnmyleswhite","2010-08-24","2015-09-01",358,97,"2014-10-06"
"22","DiagrammeR","rich-iannone","2014-12-28","2015-09-01",342,55,"2015-06-11"
"24","swirl","swirldev","2013-10-12","2015-09-01",341,251,"2015-01-04"
"25","wesanderson","karthik","2014-03-18","2015-04-26",297,32,"2015-01-22"
"27","magrittr","smbache","2014-01-01","2015-08-13",275,41,"2014-11-22"
"29","broom","dgrtwo","2014-09-11","2015-09-01",270,48,"2015-05-06"
"31","htmlwidgets","ramnathv","2014-07-17","2015-08-30",269,67,"2015-06-21"
"33","testthat","hadley","2009-09-02","2015-08-29",247,112,"2015-05-22"
"37","mlr","mlr-org","2013-08-29","2015-09-01",224,73,"2015-06-13"
"41","tidyr","hadley","2014-06-10","2015-08-25",201,57,"2014-12-05"
"42","googlesheets","jennybc","2014-10-24","2015-09-01",201,27,"2015-07-05"
"46","opencpu","jeroenooms","2013-05-21","2015-06-23",180,42,"2015-01-31"
"48","lubridate","hadley","2009-03-11","2015-05-13",168,65,"2013-12-31"
"50","caret","topepo","2014-05-16","2015-08-31",158,97,"2015-07-17"
"51","forecast","robjhyndman","2012-04-22","2015-08-19",155,68,"2015-05-12"
"53","twitteR","geoffjentry","2011-08-10","2015-08-09",149,106,"2015-07-29"
"55","googleVis","mages","2014-02-09","2015-08-29",147,70,"2015-08-26"
"63","packrat","rstudio","2013-10-08","2015-08-31",131,32,"2015-06-16"
"64","pander","Rapporter","2012-05-25","2015-08-25",130,35,"2015-05-18"
"65","rstan","stan-dev","2013-05-22","2015-09-01",128,40,"2015-07-18"
"66","rplos","ropensci","2011-06-02","2015-08-25",123,85,"2015-08-05"
"68","reshape","hadley","2008-08-20","2015-08-26",120,38,"2014-04-23"
"69","d3Network","christophergandrud","2013-06-12","2015-01-31",118,36,"2015-01-31"
"72","ggmap","dkahle","2011-11-29","2015-08-20",113,55,"2015-08-21"
"73","networkD3","christophergandrud","2014-08-01","2015-09-01",113,75,"2015-08-25"
"81","lintr","jimhester","2014-09-28","2015-08-12",103,17,"2014-12-01"
"82","stringr","hadley","2009-11-08","2015-08-05",101,34,"2015-04-30"
"83","knitcitations","cboettig","2012-03-25","2015-06-10",101,21,"2015-05-26"
"85","bigrquery","hadley","2013-05-22","2015-07-04",100,42,"2015-01-13"
"87","Rfacebook","pablobarbera","2013-10-14","2015-08-22",99,97,"2015-08-07"
"95","choroplethr","trulia","2014-01-08","2015-03-09",87,37,"2015-08-27"
"97","Rook","jeffreyhorner","2011-04-21","2015-07-30",87,20,"2014-10-20"
"98","DT","rstudio","2014-11-11","2015-08-28",86,26,"2015-06-09"
"99","pipeR","renkun-ken","2014-04-07","2015-07-29",86,19,"2015-07-08"
"100","ReporteRs","davidgohel","2014-01-27","2015-08-04",84,16,"2015-08-03"
"104","R6","wch","2014-05-07","2015-08-19",82,16,"2015-08-19"
"105","stationaRy","rich-iannone","2013-11-21","2015-08-22",80,9,"2015-06-23"
"106","RGoogleAnalytics","Tatvic","2014-05-14","2015-06-21",80,57,"2014-08-16"
"112","covr","jimhester","2014-12-21","2015-08-29",75,24,"2015-06-25"
"114","PivotalR","pivotalsoftware","2013-05-01","2015-08-05",75,29,"2015-01-03"
"118","rio","leeper","2015-02-23","2015-07-01",73,7,"2015-05-07"
"119","likert","jbryer","2012-05-04","2015-05-05",72,39,"2014-10-17"
"122","titanic","trevorstephens","2014-01-10","2014-01-19",71,138,"2015-08-31"
"124","caretEnsemble","zachmayer","2013-03-01","2015-08-12",70,30,"2015-01-16"
"128","formatR","yihui","2010-11-16","2015-04-30",68,17,"2015-04-21"
"132","rex","kevinushey","2014-09-23","2015-07-16",66,6,"2015-04-28"
"133","shinystan","stan-dev","2015-02-25","2015-08-31",66,15,"2015-08-10"
"134","shinyAce","trestletech","2013-10-11","2015-06-29",65,12,"2013-11-05"
"135","extrafont","wch","2012-05-17","2014-12-08",64,15,"2014-12-08"
"137","reports","trinker","2013-02-18","2015-07-03",64,13,"2014-12-21"
"138","quanteda","kbenoit","2012-08-15","2015-08-27",64,12,"2015-08-18"
"145","shinyBS","ebailey78","2014-01-21","2015-04-28",62,18,"2015-03-31"
"146","pryr","hadley","2013-01-07","2015-06-22",62,26,"2015-06-20"
"147","lambda.r","zatonovo","2012-07-18","2015-03-20",62,6,"2015-03-20"
"151","waffle","hrbrmstr","2015-03-18","2015-06-15",61,9,"2015-03-23"
"152","bigrf","aloysius-lim","2013-01-31","2015-01-18",60,19,"2014-05-16"
"153","rredis","bwlewis","2010-01-26","2015-08-06",60,18,"2015-07-05"
"154","openxlsx","awalker89","2014-04-25","2015-08-29",60,15,"2015-07-03"
"156","shinyjs","daattali","2015-01-26","2015-08-25",60,8,"2015-08-13"
"157","pixiedust","nutterb","2015-07-23","2015-09-01",59,4,"2015-08-03"
"160","taxize","ropensci","2011-05-19","2015-08-26",58,17,"2015-08-07"
"165","pitchRx","cpsievert","2012-08-06","2015-07-14",55,9,"2015-04-04"
"167","elastic","ropensci","2013-11-14","2015-08-27",55,12,"2015-07-03"
"168","pystr","nicolewhite","2015-07-13","2015-08-06",55,2,"2015-07-14"
"175","circlize","jokergoo","2013-04-18","2015-08-18",52,11,"2015-08-19"
"178","RSocrata","Chicago","2013-09-16","2015-07-25",52,29,"2015-07-13"
"180","corrplot","taiyun","2011-12-04","2015-06-25",51,18,"2013-10-15"
"181","animation","yihui","2010-11-16","2015-08-16",51,32,"2015-08-16"
"185","lavaan","yrosseel","2011-04-27","2015-09-01",50,14,"2015-04-06"
"191","installr","talgalili","2013-03-01","2015-08-18",49,26,"2015-06-13"
"192","ggsubplot","garrettgman","2012-09-03","2015-07-09",48,12,"2013-12-14"
"193","streamR","pablobarbera","2013-03-05","2015-07-27",48,28,"2014-01-07"
"197","broman","kbroman","2009-04-28","2015-08-26",48,14,"2015-08-05"
"198","rentrez","ropensci","2012-02-11","2015-08-05",47,11,"2015-06-26"
"200","gender","ropensci","2014-02-19","2015-08-26",47,4,"2015-08-22"
"201","rnoaa","ropensci","2013-07-08","2015-08-25",47,14,"2015-07-08"
"202","WDI","vincentarelbundock","2012-04-01","2014-03-26",47,21,"2013-08-20"
"203","sas7bdat","BioStatMatt","2011-04-18","2015-03-13",47,12,"2014-06-04"
"204","scholar","jkeirstead","2013-10-21","2015-04-25",47,11,"2014-08-22"
"206","beepr","rasmusab","2014-01-26","2015-06-17",47,5,"2015-06-14"
"207","tidyjson","sailthru","2014-09-14","2015-05-15",46,3,"2015-05-02"
"210","latex2exp","stefano-meschiari","2015-06-11","2015-08-30",46,0,"2015-08-12"
"212","BatchJobs","tudo-r","2013-11-05","2015-08-13",46,13,"2015-03-18"
"215","RSiteCatalyst","randyzwitch","2013-03-08","2015-08-27",45,23,"2015-08-15"
"217","assertthat","hadley","2013-04-09","2015-07-24",44,14,"2013-12-06"
"219","gapminder","jennybc","2014-10-25","2015-07-30",44,23,"2015-03-17"
"221","SuperLearner","ecpolley","2011-04-16","2015-07-28",44,12,"2014-07-21"
"224","sand","kolaczyk","2014-02-24","2015-01-16",44,34,"2014-04-24"
"227","lfda","terrytangyuan","2015-08-10","2015-08-31",43,21,"2015-08-19"
"229","geojsonio","ropensci","2014-04-01","2015-08-24",43,15,"2015-08-12"
"230","checkpoint","RevolutionAnalytics","2014-06-03","2015-09-01",43,14,"2015-04-28"
"232","scales","hadley","2010-11-08","2015-08-25",42,26,"2015-08-25"
"233","rlist","renkun-ken","2014-06-01","2015-08-04",42,8,"2015-07-09"
"234","doRedis","bwlewis","2010-04-27","2015-08-19",42,11,"2014-04-03"
"235","rdrop2","karthik","2015-03-31","2015-07-01",42,8,"2015-07-31"
"242","quantmod","joshuaulrich","2015-01-31","2015-07-24",40,37,"2015-07-24"
"245","whisker","edwindj","2011-07-28","2015-07-31",40,8,"2013-04-28"
"248","HiveR","bryanhanson","2011-10-23","2015-07-27",40,7,"2015-07-27"
"249","lazyeval","hadley","2014-08-12","2015-08-16",40,15,"2015-01-02"
"251","vegan","vegandevs","2012-02-13","2015-09-01",40,19,"2015-05-26"
"256","gistr","ropensci","2014-05-21","2015-08-26",39,7,"2015-07-03"
"264","captioner","adletaw","2014-12-01","2015-08-25",38,8,"2015-07-16"
"265","stm","bstewart","2014-02-04","2015-08-29",38,8,"2015-07-28"
"268","DBI","rstats-db","2013-10-16","2015-07-18",38,11,"2014-09-24"
"269","servr","yihui","2013-09-13","2015-08-10",38,7,"2015-03-30"
"270","fitbitScraper","corynissen","2015-01-22","2015-07-01",38,10,"2015-07-01"
"279","import","smbache","2015-03-06","2015-06-29",37,2,"2015-06-22"
"280","shinyRGL","trestletech","2013-08-31","2015-06-29",36,16,"2013-10-13"
"289","leafletR","chgrl","2014-03-14","2015-07-09",35,17,"2015-05-30"
"294","progress","gaborcsardi","2014-10-03","2015-08-13",34,2,"2015-06-05"
"297","rgbif","ropensci","2011-08-26","2015-07-31",34,14,"2015-07-24"
"298","R4CouchDB","wactbprot","2009-08-09","2015-06-02",34,5,"2015-02-16"
"304","ggmcmc","xfim","2012-10-17","2015-07-29",34,14,"2015-07-29"
"305","ggdendro","andrie","2011-08-06","2015-08-05",33,5,"2014-09-29"
"307","ggRandomForests","ehrlinger","2013-01-04","2015-06-15",33,11,"2015-03-29"
"309","MTurkR","leeper","2013-06-09","2015-07-26",33,10,"2015-05-23"
"315","Rlinkedin","mpiccirilli","2015-01-02","2015-06-09",32,18,"2015-05-04"
"318","rapport","Rapporter","2011-12-30","2014-12-16",32,11,"2013-05-08"
"319","mailR","rpremraj","2014-02-28","2015-07-06",32,11,"2015-01-14"
"322","stringdist","markvanderloo","2013-01-16","2015-08-21",32,5,"2015-08-21"
"325","futile.logger","zatonovo","2011-10-22","2015-04-19",31,10,"2015-04-20"
"336","babynames","hadley","2014-05-27","2015-06-05",30,14,"2014-07-22"
"338","oce","dankelley","2010-03-19","2015-09-01",30,8,"2015-05-22"
"340","mosaic","ProjectMOSAIC","2012-01-11","2015-08-07",29,10,"2015-05-22"
"342","drat","eddelbuettel","2015-02-01","2015-08-29",29,27,"2015-08-08"
"344","crayon","gaborcsardi","2014-09-22","2015-08-13",29,4,"2015-07-13"
"346","viridis","sjmgarnier","2015-07-16","2015-08-17",29,6,"2015-07-19"
"347","fulltext","ropensci","2014-05-29","2015-09-01",29,7,"2015-08-06"
"350","poweRlaw","csgillespie","2012-12-03","2015-08-17",28,14,"2015-08-11"
"354","statebins","hrbrmstr","2014-08-26","2015-01-30",28,4,"2014-08-27"
"355","rbundler","opower","2012-08-16","2015-03-27",28,8,"2014-05-08"
"367","timeline","jbryer","2013-05-02","2015-05-17",27,11,"2013-05-09"
"373","rsunlight","rOpenGov","2011-12-18","2015-08-11",27,9,"2015-07-01"
"376","gmailr","jimhester","2014-07-09","2015-04-24",27,8,"2014-12-04"
"384","FeatureHashing","wush978","2014-07-31","2015-08-24",26,15,"2015-03-30"
"388","internetarchive","ropensci","2015-02-11","2015-03-24",26,0,"2015-03-25"
"389","log4r","johnmyleswhite","2010-08-25","2014-10-06",26,7,"2014-09-29"
"391","db.r","yhat","2014-11-07","2014-12-17",26,2,"2014-12-17"
"393","dataRetrieval","USGS-R","2013-01-14","2015-08-14",26,15,"2015-08-14"
"395","docxtractr","hrbrmstr","2015-08-24","2015-08-29",26,4,"2015-08-29"
"404","spocc","ropensci","2013-09-05","2015-08-05",25,12,"2015-07-04"
"412","WikipediR","Ironholds","2014-03-30","2015-06-12",24,5,"2015-05-18"
"416","dpmr","christophergandrud","2014-08-03","2015-07-05",24,5,"2015-05-22"
"419","rsdmx","opensdmx","2013-06-12","2015-08-31",24,14,"2015-07-14"
"420","rWBclimate","ropensci","2013-03-06","2015-04-05",24,3,"2014-04-19"
"425","sqldf","ggrothendieck","2015-03-13","2015-03-25",24,15,"2014-11-07"
"426","tabplot","mtennekes","2013-02-22","2015-07-27",24,1,"2014-02-24"
"431","qtl","kbroman","2009-02-12","2015-08-24",23,18,"2015-08-25"
"432","ggExtra","daattali","2015-03-25","2015-08-19",23,4,"2015-07-13"
"434","BayesFactor","richarddmorey","2013-05-27","2015-08-18",23,11,"2015-03-20"
"439","colourlovers","leeper","2014-01-24","2015-07-02",23,0,"2014-12-20"
"445","countrycode","vincentarelbundock","2011-08-17","2015-08-18",23,13,"2014-12-29"
"450","memoise","hadley","2010-11-11","2014-05-01",22,13,"2014-04-22"
"452","rfigshare","ropensci","2012-06-13","2015-06-14",22,4,"2015-06-15"
"453","USAboundaries","ropensci","2014-10-09","2015-08-22",22,3,"2014-12-24"
"456","DataCombine","christophergandrud","2013-03-10","2015-07-27",22,9,"2015-02-11"
"458","rfishbase","ropensci","2011-11-18","2015-08-31",22,10,"2015-08-15"
"459","mirt","philchalmers","2012-02-03","2015-09-01",22,15,"2015-06-16"
"460","profr","hadley","2008-04-20","2015-08-31",22,5,"2014-04-22"
"467","parallelMap","berndbischl","2013-08-13","2015-06-09",22,2,"2015-06-10"
"468","matrixStats","HenrikBengtsson","2014-06-14","2015-08-19",22,10,"2015-06-24"
"483","seasonal","christophsax","2013-09-17","2015-08-14",21,11,"2015-08-14"
"486","historydata","ropensci","2014-09-22","2015-06-05",21,8,"2014-12-24"
"487","RAppArmor","jeroenooms","2012-04-26","2014-08-07",21,7,"2013-12-18"
"490","summarytools","dcomtois","2014-11-22","2015-08-14",21,3,"2015-08-05"
"492","evaluate","hadley","2008-05-18","2015-08-21",20,9,"2015-08-13"
"493","Zelig","IQSS","2013-12-05","2015-05-18",20,8,"2013-09-21"
"495","NeuralNetTools","fawda123","2014-10-07","2015-08-26",20,4,"2015-04-27"
"497","cranlogs","metacran","2014-10-30","2015-07-27",20,0,"2015-05-07"
"498","darch","maddin79","2013-07-26","2015-08-28",20,8,"2014-03-16"
"499","RForcecom","hiratake55","2012-02-16","2015-08-31",20,9,"2013-10-23"
"502","ez","mike-lawrence","2011-02-04","2013-09-13",20,10,"2013-09-13"
"515","data.tree","gluc","2015-02-20","2015-09-01",20,2,"2015-04-10"
"519","psData","rOpenGov","2014-01-30","2015-07-28",19,6,"2014-02-23"
"521","shinythemes","rstudio","2014-12-05","2015-03-02",19,9,"2015-03-03"
"524","slackr","hrbrmstr","2014-09-04","2015-08-17",19,11,"2014-09-08"
"526","rjstat","ajschumacher","2013-10-25","2015-08-27",19,3,"2015-05-25"
"538","pROC","xrobin","2011-09-13","2015-08-27",19,1,"2015-05-05"
"542","openair","davidcarslaw","2015-01-15","2015-08-28",19,4,"2015-07-23"
"547","fun","yihui","2010-12-03","2014-09-26",18,13,"2011-08-12"
"549","pairsD3","garthtarr","2015-03-26","2015-07-17",18,4,"2015-04-28"
"551","TTR","joshuaulrich","2014-12-14","2015-07-10",18,12,"2015-07-10"
"553","RAdwords","jburkhardt","2014-04-11","2015-08-31",18,15,"2015-08-07"
"555","RDSTK","rtelmore","2011-05-01","2013-10-15",18,10,"2013-05-15"
"566","tmap","mtennekes","2013-11-25","2015-09-01",18,5,"2015-05-28"
"571","checkmate","mllg","2013-12-27","2015-08-14",17,3,"2015-07-26"
"572","readstata13","sjewo","2014-08-26","2015-08-24",17,3,"2015-08-07"
"585","clisymbols","gaborcsardi","2015-04-14","2015-06-07",17,0,"2015-06-08"
"586","kfigr","mkoohafkan","2014-06-18","2015-07-14",17,4,"2015-07-15"
"591","infuser","Bart6114","2015-05-15","2015-05-30",17,3,"2015-05-27"
"600","stylo","computationalstylistics","2013-05-24","2015-08-26",17,10,"2015-08-18"
"601","sorvi","louhos","2011-12-30","2014-06-03",16,8,"2015-06-26"
"607","ffbase","edwindj","2013-02-20","2015-07-31",16,8,"2015-06-05"
"619","diversitree","richfitz","2012-03-20","2015-06-22",16,6,"2014-02-20"
"624","RMOA","jwijffels","2014-03-17","2015-07-01",16,7,"2014-09-19"
"628","svgPanZoom","timelyportfolio","2015-01-12","2015-08-20",16,4,"2015-07-16"
"630","xts","joshuaulrich","2015-02-26","2015-08-10",16,12,"2014-01-02"
"631","WikidataR","Ironholds","2015-02-01","2015-06-01",16,2,"2015-06-01"
"639","memuse","shinra-dev","2013-05-23","2015-07-03",15,1,"2015-07-02"
"642","switchr","gmbecker","2014-07-18","2015-08-11",15,1,"2015-07-02"
"645","simsem","simsem","2012-05-11","2015-08-26",15,5,"2015-06-29"
"646","learningr","richierocks","2013-09-13","2015-02-09",15,14,"2013-11-06"
"647","gsheet","maxconway","2015-03-05","2015-05-11",15,0,"2015-03-10"
"651","treemap","mtennekes","2013-02-21","2015-08-18",15,8,"2015-06-26"
"652","apple","kjhealy","2015-04-29","2015-07-22",15,2,"2012-01-20"
"671","Rmonkey","leeper","2014-05-10","2015-08-25",15,3,"2015-03-31"
"672","ascii","eusebe","2009-03-16","2015-03-04",15,3,"2011-09-29"
"673","spacetime","edzer","2013-09-25","2015-08-15",15,9,"2015-04-24"
"679","traits","ropensci","2014-04-09","2015-08-05",15,4,"2015-06-12"
"682","NMF","renozao","2013-06-09","2015-06-17",15,5,"2015-05-26"
"683","nycflights13","hadley","2014-06-27","2015-06-08",15,10,"2014-07-22"
"698","semPlot","SachaEpskamp","2012-09-11","2015-07-31",14,2,"2014-08-15"
"702","semPlot","SachaEpskamp","2012-09-11","2015-07-31",14,2,"2014-08-15"
"703","ngramr","seancarmody","2013-07-06","2015-04-13",14,2,"2014-08-31"
"715","semTools","simsem","2012-05-17","2015-06-30",14,3,"2015-06-29"
"719","prettyunits","gaborcsardi","2014-10-03","2015-07-13",14,1,"2015-07-13"
"722","aprof","MarcoDVisser","2013-06-24","2015-07-20",14,1,"2015-07-20"
"723","downloader","wch","2012-10-27","2015-08-12",14,4,"2015-07-09"
"725","hts","robjhyndman","2013-11-22","2015-08-24",14,7,"2015-06-29"
"726","woe","tomasgreif","2013-07-09","2015-08-03",14,12,"2015-07-28"
"727","sparkTable","alexkowa","2013-10-03","2015-08-22",14,7,"2015-04-20"
"730","dotwhisker","fsolt","2015-07-14","2015-08-30",14,0,"2015-08-30"
"732","dml","terrytangyuan","2015-08-26","2015-08-29",14,8,"2015-08-29"
"738","optparse","trevorld","2013-05-04","2015-04-23",13,5,"2014-12-11"
"742","rdryad","ropensci","2012-02-21","2015-06-28",13,5,"2013-01-30"
"743","matR","MG-RAST","2012-03-13","2014-12-22",13,5,"2014-10-23"
"745","h5","mannau","2014-12-08","2015-08-31",13,1,"2015-08-11"
"746","rebird","ropensci","2012-02-09","2015-08-25",13,3,"2015-07-09"
"765","mapDK","sebastianbarfort","2015-01-30","2015-02-24",13,1,"2015-02-22"
"770","eurostat","rOpenGov","2014-04-21","2015-07-31",13,9,"2015-03-27"
"772","htmltools","rstudio","2014-04-03","2015-05-25",13,8,"2014-09-08"
"778","googleAuthR","MarkEdmondson1234","2015-08-13","2015-08-27",13,1,"2015-08-19"
"780","aRxiv","ropensci","2014-03-04","2015-06-15",13,3,"2015-05-27"
"782","granovaGG","briandk","2011-01-06","2015-01-01",12,3,"2015-01-01"
"784","zendeskR","tcash21","2012-07-11","2014-02-21",12,3,"2014-02-21"
"785","rHealthDataGov","rOpenHealth","2014-03-28","2014-12-29",12,11,"2014-06-02"
"794","rappdirs","hadley","2012-08-10","2014-09-02",12,4,"2014-09-02"
"795","weatherData","Ram-N","2014-01-16","2015-08-07",12,8,"2014-06-24"
"796","repmis","christophergandrud","2013-01-31","2015-06-03",12,7,"2015-06-03"
"799","RcppRoll","kevinushey","2013-01-11","2015-04-09",12,3,"2015-04-05"
"800","rfoaas","eddelbuettel","2013-07-20","2015-06-12",12,4,"2015-06-01"
"803","weatherData","Ram-N","2014-01-16","2015-08-07",12,8,"2014-06-24"
"804","repmis","christophergandrud","2013-01-31","2015-06-03",12,7,"2015-06-03"
"808","RcppRoll","kevinushey","2013-01-11","2015-04-09",12,3,"2015-04-05"
"820","genderizeR","kalimu","2014-09-12","2015-07-05",12,0,"2015-07-05"
"824","rsnps","ropensci","2012-01-19","2015-08-05",12,4,"2015-03-03"
"829","dvn","ropensci","2013-06-09","2015-06-02",12,4,"2013-12-02"
"830","fueleconomy","hadley","2014-05-29","2014-07-22",12,6,"2014-07-22"
"834","ROAuth","geoffjentry","2011-08-10","2015-08-18",12,15,"2015-02-13"
"837","statnetWeb","statnet","2014-06-24","2015-09-02",12,11,"2015-08-21"
"842","rstudioapi","rstudio","2014-01-10","2015-04-06",11,1,"2015-04-07"
"851","rfisheries","ropensci","2011-10-31","2015-06-30",11,7,"2014-02-18"
"854","uniqtag","sjackman","2014-06-20","2015-04-28",11,1,"2015-04-29"
"856","js","jeroenooms","2015-01-10","2015-02-25",11,2,"2015-02-24"
"858","rafalib","ririzarr","2014-01-12","2015-08-10",11,19,"2015-08-09"
"859","filehash","rdpeng","2008-05-07","2015-08-15",11,31,"2015-08-16"
"868","Kmisc","kevinushey","2012-12-16","2014-09-24",11,6,"2013-12-13"
"869","gWidgets2","jverzani","2011-09-28","2015-06-15",11,4,"2015-06-15"
"872","pollstR","dlinzer","2012-07-06","2012-08-09",11,4,"2015-07-01"
"875","LaF","djvanderlaan","2013-04-24","2015-01-28",11,2,"2015-01-28"
"880","lambda.tools","zatonovo","2013-08-15","2015-06-09",11,4,"2015-06-09"
"883","midasr","mpiktas","2012-03-14","2015-07-29",11,4,"2015-07-16"
"884","ParamHelpers","berndbischl","2013-05-07","2015-08-20",11,3,"2015-02-03"
"890","dga","jayjacobs","2014-09-28","2014-09-30",11,2,"2015-04-16"
"898","lint","halpo","2012-03-22","2014-06-04",11,4,"2013-04-03"
"900","testthatsomemore","robertzk","2014-03-05","2015-04-18",11,3,"2014-08-26"
"907","splitstackshape","mrdwab","2013-08-12","2015-03-08",11,6,"2014-10-23"
"908","merTools","jknowles","2015-04-16","2015-08-27",11,4,"2015-08-12"
"911","htmltab","crubba","2014-10-25","2015-08-30",11,3,"2015-07-22"
"914","plumbr","ggobi","2010-10-01","2014-02-22",10,0,"2014-02-22"
"921","deepnet","cran","2014-03-20","2014-03-20",10,7,"2014-03-20"
"936","abbyyR","soodoku","2015-06-01","2015-08-08",10,0,"2015-06-12"
"943","TurtleGraphics","Rexamine","2014-03-10","2015-05-19",10,7,"2014-10-07"
"944","enigma","rOpenGov","2014-04-18","2015-08-05",10,1,"2015-07-08"
"946","optmatch","markmfredrickson","2011-06-02","2015-08-18",10,4,"2015-07-31"
"950","neotoma","ropensci","2013-01-29","2015-08-22",10,7,"2015-08-22"
"963","Amelia","IQSS","2012-12-19","2015-07-14",10,3,"2014-11-15"
"970","MODISTools","seantuck12","2012-08-09","2015-07-22",10,14,"2015-01-21"
"971","densityClust","thomasp85","2014-07-07","2015-08-27",10,9,"2014-07-21"
"972","MSG","yihui","2011-02-06","2014-09-08",10,3,"2012-08-19"
"973","ChemoSpec","bryanhanson","2009-10-15","2015-07-30",10,8,"2015-07-24"
"974","ggtern","nicholasehamilton","2013-12-12","2015-08-07",10,6,"2015-08-03"
"978","RImpala","Mu-Sigma","2014-02-24","2015-05-11",10,4,"2015-05-07"
"980","BatchExperiments","tudo-r","2013-11-05","2015-07-16",10,4,"2015-03-18"
"982","highfrequency","jonathancornelissen","2012-12-24","2013-12-24",10,12,"2014-11-28"
"984","webreadr","Ironholds","2015-03-15","2015-07-16",10,1,"2015-07-16"
"987","sqlutils","jbryer","2012-11-01","2015-07-01",10,4,"2014-11-19"
"989","pushoverr","briandconnelly","2014-03-28","2014-11-06",10,1,"2014-11-06"
"990","praise","gaborcsardi","2015-07-30","2015-08-03",10,0,"2015-08-11"
"992","testit","yihui","2013-06-26","2015-06-10",10,2,"2014-12-20"
"993","geonames","ropensci","2014-05-04","2014-12-23",10,0,"2014-12-19"
"994","MALDIquant","sgibb","2012-10-07","2015-08-11",10,1,"2015-06-11"
"996","dendextendRcpp","talgalili","2013-08-16","2015-05-22",10,2,"2015-05-22"
"997","graticule","mdsumner","2015-05-05","2015-08-21",10,0,"2015-08-20"
